Date,tx_count,active_addresses,tx_volume_usd,hash_rate
2010-03-24,182,180,,3.948677338e-05
2010-03-25,202,201,,4.220999913e-05
2010-03-26,213,204,,4.425241844e-05
2010-03-27,184,183,,3.948677338e-05
2010-03-28,192,190,,4.402548296e-05
2010-03-29,207,201,,4.3571612e-05
2010-03-30,221,218,,4.788338611e-05
2010-03-31,214,213,,4.697564419e-05
2010-04-01,179,173,,5.717452189e-05
2010-04-02,161,159,,4.477158328e-05
2010-04-03,166,168,,5.021677584e-05
2010-04-04,183,178,,5.021677584e-05
2010-04-05,181,181,,5.021677584e-05
2010-04-06,174,174,,4.386405118e-05
2010-04-07,204,202,,5.838456468e-05
2010-04-08,195,196,,5.898958608e-05
2010-04-09,224,234,,5.354439351e-05
2010-04-10,298,295,,7.260256748e-05
2010-04-11,265,261,,7.230005678e-05
2010-04-12,247,237,,8.435315509e-05
2010-04-13,209,204,,6.41394958e-05
2010-04-14,223,221,,7.77448434e-05
2010-04-15,290,290,,8.00771887e-05
2010-04-16,234,229,,7.852229183e-05
2010-04-17,250,241,,8.163208557e-05
2010-04-18,3351,3359,,0.0001030119175
2010-04-19,276,268,,8.435315509e-05
2010-04-20,243,232,,7.968846448e-05
2010-04-21,251,243,,8.590805195e-05
2010-04-22,199,191,,0.0001008712787
2010-04-23,200,201,,8.548413447e-05
2010-04-24,202,195,,8.377445178e-05
2010-04-25,205,189,,9.631212484e-05
2010-04-26,211,207,,9.688201907e-05
2010-04-27,233,222,,9.688201907e-05
2010-04-28,227,218,,9.973149022e-05
2010-04-29,180,174,,9.061318254e-05
2010-04-30,170,170,,8.719381716e-05
2010-05-01,210,203,,9.289275946e-05
2010-05-02,180,170,,9.688201907e-05
2010-05-03,188,178,,9.118307677e-05
2010-05-04,177,161,,8.303572664e-05
2010-05-05,162,158,,9.325550838e-05
2010-05-06,177,169,,9.644919018e-05
2010-05-07,158,147,,8.3674463e-05
2010-05-08,182,,,9.45329811e-05
2010-05-09,183,178,,9.070056295e-05
2010-05-10,157,148,,8.750688116e-05
2010-05-11,131,126,,7.345468126e-05
2010-05-12,158,144,,7.728709941e-05
2010-05-13,167,155,,8.303572664e-05
2010-05-14,153,149,,7.664836306e-05
2010-05-15,113,106,,6.770605403e-05
2010-05-16,134,127,,6.131869044e-05
2010-05-17,177,163,,9.197803567e-05
2010-05-18,223,208,,0.0001073077083
2010-05-19,207,204,,0.0001034752901
2010-05-20,237,226,,0.0001077648928
2010-05-21,235,215,,0.0001089426512
2010-05-22,226,223,,0.0001130648055
2010-05-23,309,306,,0.000126609027
2010-05-24,250,239,,0.0001118870471
2010-05-25,254,247,,0.000126609027
2010-05-26,287,279,,0.0001248423894
2010-05-27,267,244,,0.0001148314431
2010-05-28,277,278,,0.0001289645438
2010-05-29,239,233,,0.0001627493605
2010-05-30,200,195,,0.0001247469717
2010-05-31,194,190,,0.0001255731106
2010-06-01,183,178,,0.0001098764718
2010-06-02,194,189,,0.0001098764718
2010-06-03,235,219,,0.0001297038051
2010-06-04,173,172,,0.0001098764718
2010-06-05,190,181,,0.0001148333051
2010-06-06,200,191,,0.0001247469717
2010-06-07,209,200,,0.0001288776662
2010-06-08,223,220,,0.0001305299439
2010-06-09,220,223,,0.0001338344995
2010-06-10,217,218,,0.0001379651939
2010-06-11,247,251,,0.0001387913328
2010-06-12,213,203,,0.0001183732694
2010-06-13,238,233,,0.0001391101925
2010-06-14,258,255,,0.0001313338464
2010-06-15,269,279,,0.0001693515387
2010-06-16,192,195,,0.000127013654
2010-06-17,204,204,,0.0001235575002
2010-06-18,193,190,,0.0001278776925
2010-06-19,214,216,,0.0001365180771
2010-06-20,228,232,,0.0001494786541
2010-06-21,242,264,,0.000139974231
2010-06-22,227,236,,0.0001365180771
2010-06-23,257,264,,0.0001477505772
2010-06-24,240,239,,0.0001755604137
2010-06-25,210,206,,0.000146621884
2010-06-26,201,199,,0.0001572326782
2010-06-27,234,220,,0.0001533742076
2010-06-28,230,206,,0.0001572326782
2010-06-29,264,244,,0.0001553034429
2010-06-30,273,261,,0.000177489649
2010-07-01,283,268,,0.0002006404728
